case,solver,setting,unit,relative_l2,vector_rmse,max_vector_difference,elapsed_s
magnetic_block_far,direct,refine_1,nt,0.001019067863334415,1.0305030047336001e-07,1.082752915783869e-07,0.013519083033315837
magnetic_block_far,direct,refine_2,nt,0.0008847369079752646,8.94664697877962e-08,9.395845864367799e-08,0.01325675001135096
magnetic_block_far,direct,refine_4,nt,0.0008230676247172196,8.323034126449605e-08,8.807576445612267e-08,0.014426750014536083
magnetic_block_far,spectral,degree_4,nt,0.04137313737685072,4.183739269590687e-06,4.353721782022335e-06,0.12447837501531467
magnetic_block_far,spectral,degree_8,nt,0.0005076415466161913,5.133378825271905e-08,5.4465764959689564e-08,0.12785604101372883
magnetic_block_far,spectral,degree_12,nt,4.312150266021033e-06,4.3605376696480493e-10,4.719148626082926e-10,0.15813879197230563
magnetic_block_far,spectral,degree_24,nt,9.844365445121653e-07,9.954830817351012e-11,1.0086170200119993e-10,1.4051089160493575
gravity_block_far,gauss_legendre,order_4,mgal,2.0788206364650847e-15,4.822791183772688e-18,5.092577354838777e-18,0.014923957991413772
gravity_block_far,gauss_legendre,order_8,mgal,2.4589624596662534e-15,5.7047069206855994e-18,6.072500126413762e-18,0.01496929198037833
gravity_block_far,gauss_legendre,order_16,mgal,1.4071207769924466e-15,3.2644709979992193e-18,3.538221987984553e-18,0.01435933297034353
gravity_block_far,gauss_legendre,order_32,mgal,8.291696181273794e-17,1.9236445194025072e-19,4.370558682921689e-19,0.017105999984778464
gravity_block_far,gauss_legendre,order_64,mgal,6.953474706459455e-16,1.6131818167787509e-18,1.951563910473908e-18,0.03754762501921505
gravity_block_far,gauss_legendre,order_8_panels_4,mgal,2.517904654673357e-15,5.841450751993647e-18,6.087001062749907e-18,0.01770658395253122
gravity_block_far,direct,refine_1,mgal,7.437124464918315e-07,1.72538686950016e-09,4.575339409504664e-09,0.013550166971981525
gravity_block_far,direct,refine_2,mgal,7.042334332845729e-07,1.6337969393733473e-09,3.1542964694784034e-09,0.013363500009290874
gravity_block_far,direct,refine_4,mgal,7.656211117770627e-07,1.776214206853088e-09,3.3997447241596874e-09,0.01462950004497543
gravity_block_far,spectral,degree_4,mgal,0.5572588010545607,0.0012928209320529386,0.0012929062351981395,0.09069033298874274
gravity_block_far,spectral,degree_8,mgal,0.5521367217523686,0.0012809378871822652,0.001281225899263192,0.09250608301954344
gravity_block_far,spectral,degree_12,mgal,0.5523167462890604,0.001281355537812238,0.001281803749848855,0.1201155410381034
gravity_block_far,spectral,degree_24,mgal,0.5523087175630679,0.0012813369114486862,0.001281382618038151,1.2525599999935366
